pollutant,emission_species,split_factor,divisor,inv_unit,emi_unit
VOC,ALD2,0.09046,44.03499,Mg,mol/s
VOC,ALDX,0.122358,39.22808,Mg,mol/s
VOC,BENZENE,0.030826,78.112,Mg,mol/s
VOC,ETH,0.071454,28.053,Mg,mol/s
VOC,ETHA,0.032081,30.069,Mg,mol/s
VOC,ETOH,0.004304,45.8447,Mg,mol/s
VOC,FORM,0.070244,30.026,Mg,mol/s
VOC,IOLE,0.016806,57.09965,Mg,mol/s
VOC,ISOP,0.00248,68.117,Mg,mol/s
VOC,MEOH,0.008495,32.042,Mg,mol/s
VOC,NVOL,0.011607,0.992943,Mg,mol/s
VOC,OLE,0.044232,29.63422,Mg,mol/s
VOC,PAR,0.238169,15.11587,Mg,mol/s
VOC,TERP,0.000941,136.2352,Mg,mol/s
VOC,TOL,0.09473,96.79334,Mg,mol/s
VOC,UNR,0.117053,19.08899,Mg,mol/s
VOC,XYL,0.04376,109.2713,Mg,mol/s
PM25,PAL,9.06E-04,1,Mg,g/s
PM25,PCA,0.00343,1,Mg,g/s
PM25,PCL,0.026758,1,Mg,g/s
PM25,PFE,6.75E-04,1,Mg,g/s
PM25,PH2O,2.90E-05,1,Mg,g/s
PM25,PK,0.037723,1,Mg,g/s
PM25,PMG,4.89E-04,1,Mg,g/s
PM25,PMN,2.50E-05,1,Mg,g/s
PM25,PMOTHR,0.075385,1,Mg,g/s
PM25,PNA,5.56E-03,1,Mg,g/s
PM25,PNCOM,0.793224,1,Mg,g/s
PM25,PNH4,0.006773,1,Mg,g/s
PM25,PNO3,0.006223,1,Mg,g/s
PM25,PSI,0.015033,1,Mg,g/s
PM25,PSO4,0.027662,1,Mg,g/s
PM25,PTI,1.03E-04,1,Mg,g/s
SO2,SO2,1,64,Mg,mol/s
SO2,SULF,0.0148,98,Mg,mol/s
NH3,NH3,1,17,Mg,mol/s
CO,CO,1,28,Mg,mol/s
PMC,PMC,1,1,Mg,g/s
NOx,NO,0.9,30,Mg,mol/s
NOx,NO2,0.092,46,Mg,mol/s
NOx,HONO,0.008,47,Mg,mol/s
OC,POC,1,1,Mg,g/s
