pollutant,emission_species,split_factor,divisor,inv_unit,emi_unit
VOC,ALD2,0.014891,44.03499,Mg,mol/s
VOC,ALDX,0.005493,39.22808,Mg,mol/s
VOC,BENZENE,0.000962,78.112,Mg,mol/s
VOC,ETH,0.069755,28.053,Mg,mol/s
VOC,ETHA,0.018494,30.069,Mg,mol/s
VOC,ETOH,0.053039,45.8447,Mg,mol/s
VOC,FORM,0.017614,30.026,Mg,mol/s
VOC,IOLE,0.02694,57.09965,Mg,mol/s
VOC,ISOP,0.000422,68.117,Mg,mol/s
VOC,MEOH,0.000929,32.042,Mg,mol/s
VOC,NVOL,0.000055,0.992943,Mg,mol/s
VOC,OLE,0.038663,29.63422,Mg,mol/s
VOC,PAR,0.428392,15.11587,Mg,mol/s
VOC,TERP,0.000135,136.2352,Mg,mol/s
VOC,TOL,0.103915,96.79334,Mg,mol/s
VOC,UNR,0.083728,19.08899,Mg,mol/s
VOC,XYL,0.136572,109.2713,Mg,mol/s
PM25,PAL,5.60E-03,1,Mg,g/s
PM25,PCA,0.033303,1,Mg,g/s
PM25,PCL,0.009179,1,Mg,g/s
PM25,PFE,6.22E-02,1,Mg,g/s
PM25,PH2O,3.71E-03,1,Mg,g/s
PM25,PK,0.002276,1,Mg,g/s
PM25,PMG,4.07E-02,1,Mg,g/s
PM25,PMN,5.00E-04,1,Mg,g/s
PM25,PMOTHR,0.264368,1,Mg,g/s
PM25,PNA,2.99E-03,1,Mg,g/s
PM25,PNCOM,0.375107,1,Mg,g/s
PM25,PNH4,0.041369,1,Mg,g/s
PM25,PNO3,0.016703,1,Mg,g/s
PM25,PSI,0.043676,1,Mg,g/s
PM25,PSO4,0.09631,1,Mg,g/s
PM25,PTI,1.97E-03,1,Mg,g/s
SO2,SO2,1,64,Mg,mol/s
SO2,SULF,0,98,Mg,mol/s
NH3,NH3,1,17,Mg,mol/s
CO,CO,1,28,Mg,mol/s
PMC,PMC,1,1,Mg,g/s
NOx,NO,0.9,30,Mg,mol/s
NOx,NO2,0.092,46,Mg,mol/s
NOx,HONO,0.008,47,Mg,mol/s
OC,POC,1,1,Mg,g/s
