pollutant,emission_species,split_factor,divisor,inv_unit,emi_unit
CB06_ETOH,ETOH,1,46.2,Mg,mol/s
CB06_ETHA,ETHA,1,30.1,Mg,mol/s
CB06_PRPA,PRPA,1,44,Mg,mol/s
CB06_SOAALK,SOAALK,1,112,Mg,mol/s
CB06_ETH,ETH,1,28,Mg,mol/s
CB06_ETHY,ETHY,1,26,Mg,mol/s
CB06_ISOP,ISOP,1,118.1,Mg,mol/s
CB06_TERP,TERP,1,136.2,Mg,mol/s
CB06_BENZ,BENZ,1,78.1,Mg,mol/s
CB06_TOL,TOL,1,92.1,Mg,mol/s
CB06_XYLMN,XYLMN,1,106.2,Mg,mol/s
CB06_ECH4,ECH4,1,16,Mg,mol/s
CB06_ALD2,ALD2,1,44,Mg,mol/s
CB06_KET,KET,1,72.1,Mg,mol/s
CB06_FACD,FACD,1,46,Mg,mol/s
PM25,PAL,0,0,Mg,g/s
PM25,PCA,0,0,Mg,g/s
PM25,PCL,0,0,Mg,g/s
PM25,PFE,0,0,Mg,g/s
PM25,PH2O,0,0,Mg,g/s
PM25,PK,0,0,Mg,g/s
PM25,PMG,0,0,Mg,g/s
PM25,PMN,0,0,Mg,g/s
PM25,PMOTHR,1,0,Mg,g/s
PM25,PNA,0,0,Mg,g/s
PM25,PNCOM,0,0,Mg,g/s
PM25,PNH4,0,0,Mg,g/s
PM25,PNO3,0,0,Mg,g/s
PM25,PSI,0,0,Mg,g/s
PM25,PSO4,0,0,Mg,g/s
PM25,PTI,0,0,Mg,g/s
BC,PEC,1,0,Mg,g/s
CO,CO,1,28,Mg,mol/s
NH3,NH3,1,17,Mg,mol/s
OC,POC,1,1,Mg,g/s
NOx,NO,1,30,Mg,mol/s
SO2,SO2,1,64,Mg,mol/s
PMC,PMC,1,1,Mg,g/s
