pollutant,emission_species,split_factor,divisor,inv_unit,emi_unit
VOC,ALD2,0,44.03499,Mg,mol/s
VOC,ALDX,0,39.22808,Mg,mol/s
VOC,BENZENE,0,78.112,Mg,mol/s
VOC,ETH,0,28.053,Mg,mol/s
VOC,ETHA,0,30.069,Mg,mol/s
VOC,ETOH,0,45.8447,Mg,mol/s
VOC,FORM,0,30.026,Mg,mol/s
VOC,IOLE,0,57.09965,Mg,mol/s
VOC,ISOP,0,68.117,Mg,mol/s
VOC,MEOH,0,32.042,Mg,mol/s
VOC,NVOL,0,0.992943,Mg,mol/s
VOC,OLE,0,29.63422,Mg,mol/s
VOC,PAR,0,15.11587,Mg,mol/s
VOC,TERP,0,136.2352,Mg,mol/s
VOC,TOL,0,96.79334,Mg,mol/s
VOC,UNR,0,19.08899,Mg,mol/s
VOC,XYL,0,109.2713,Mg,mol/s
PM25,PAL,0,1,Mg,g/s
PM25,PCA,0,1,Mg,g/s
PM25,PCL,0,1,Mg,g/s
PM25,PFE,0,1,Mg,g/s
PM25,PH2O,0,1,Mg,g/s
PM25,PK,0,1,Mg,g/s
PM25,PMG,0,1,Mg,g/s
PM25,PMN,0,1,Mg,g/s
PM25,PMOTHR,0,1,Mg,g/s
PM25,PNA,0,1,Mg,g/s
PM25,PNCOM,0,1,Mg,g/s
PM25,PNH4,0,1,Mg,g/s
PM25,PNO3,0,1,Mg,g/s
PM25,PSI,0,1,Mg,g/s
PM25,PSO4,0,1,Mg,g/s
PM25,PTI,0,1,Mg,g/s
SO2,SO2,0,64,Mg,mol/s
SO2,SULF,0,98,Mg,mol/s
NH3,NH3,1,17,Mg,mol/s
CO,CO,0,28,Mg,mol/s
PMC,PMC,0,1,Mg,g/s
NOx,NO,0,30,Mg,mol/s
NOx,NO2,0,46,Mg,mol/s
NOx,HONO,0,47,Mg,mol/s
OC,POC,0,1,Mg,g/s
